competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Premier League ,29,15/03/08,Away,Manchester United,Derby County,0:1,CF,76',0:1,Right-footed shot,Wayne Rooney,2007/08,2000s,0,76-90
Premier League ,30,19/03/08,Home,Manchester United,Bolton Wanderers,2:0,CF,8',1:0,Right-footed shot,Not Applicable,2007/08,2000s,1,01-15
Premier League ,30,19/03/08,Home,Manchester United,Bolton Wanderers,2:0,CF,19',2:0,Direct free kick,Not Applicable,2007/08,2000s,1,16-30
Premier League ,31,23/03/08,Home,Manchester United,Liverpool FC,3:0,RW,79',2:0,Header,Nani,2007/08,2000s,1,76-90
Premier League ,32,29/03/08,Home,Manchester United,Aston Villa,4:0,RW,16',1:0,Right-footed shot,Not Applicable,2007/08,2000s,1,16-30
UEFA Champions League ,Quarter-Finals,01/04/08,Away,Manchester United,AS Roma,0:2,CF,39',0:1,Header,Paul Scholes,2007/08,2000s,0,31-45
Premier League ,33,06/04/08,Away,Manchester United,Middlesbrough FC,2:2,CF,9',0:1,Left-footed shot,Michael Carrick,2007/08,2000s,0,01-15
Premier League ,34,13/04/08,Home,Manchester United,Arsenal FC,2:1,RW,53',1:1,Penalty,Not Applicable,2007/08,2000s,1,46-60
Premier League ,37,03/05/08,Home,Manchester United,West Ham United,4:1,RW,3',1:0,Right-footed shot,Edwin van der Sar,2007/08,2000s,1,01-15
Premier League ,37,03/05/08,Home,Manchester United,West Ham United,4:1,RW,24',2:0,Right-footed shot,Owen Hargreaves,2007/08,2000s,1,16-30
Premier League ,38,11/05/08,Away,Manchester United,Wigan Athletic,0:2,RW,32',0:1,Penalty,Not Applicable,2007/08,2000s,0,31-45
UEFA Champions League ,Final,21/05/08,Home,Manchester United,Chelsea FC,6:5,RW,26',1:0,Header,Wes Brown,2007/08,2000s,1,16-30
EFL Cup ,Third Round,23/09/08,Home,Manchester United,Middlesbrough FC,3:1,SS,25',1:0,Header,Ryan Giggs,2008/09,2000s,1,16-30
Premier League ,6,27/09/08,Home,Manchester United,Bolton Wanderers,2:0,SS,59',1:0,Penalty,Not Applicable,2008/09,2000s,1,46-60
Premier League ,8,18/10/08,Home,Manchester United,West Bromwich Albion,4:0,SS,69',2:0,Left-footed shot,Wayne Rooney,2008/09,2000s,1,61-75
Premier League ,10,29/10/08,Home,Manchester United,West Ham United,2:0,SS,14',1:0,Left-footed shot,Nani,2008/09,2000s,1,01-15
Premier League ,10,29/10/08,Home,Manchester United,West Ham United,2:0,SS,30',2:0,Right-footed shot,Dimitar Berbatov,2008/09,2000s,1,16-30
Premier League ,11,01/11/08,Home,Manchester United,Hull City,4:3,RW,3',1:0,Left-footed shot,Dimitar Berbatov,2008/09,2000s,1,01-15
Premier League ,11,01/11/08,Home,Manchester United,Hull City,4:3,RW,43',3:1,Header,Nani,2008/09,2000s,1,31-45
Premier League ,13,15/11/08,Home,Manchester United,Stoke City,5:0,LW,3',1:0,Direct free kick,Not Applicable,2008/09,2000s,1,01-15
Premier League ,13,15/11/08,Home,Manchester United,Stoke City,5:0,LW,88',5:0,Direct free kick,Not Applicable,2008/09,2000s,1,76-90
Club World Cup ,Semi-Finals,18/12/08,Away,Manchester United,Gamba Osaka,3:5,RW,45'+1,0:2,Header,Ryan Giggs,2008/09,2000s,0,31-45
EFL Cup ,Semi-Finals,20/01/09,Home,Manchester United,Derby County,4:2,Not Applicable,89',4:1,Penalty,Not Applicable,2008/09,2000s,1,76-90
Premier League ,23,27/01/09,Away,Manchester United,West Bromwich Albion,0:5,Not Applicable,65',0:4,Right-footed shot,Ryan Giggs,2008/09,2000s,0,61-75
Premier League ,23,27/01/09,Away,Manchester United,West Bromwich Albion,0:5,Not Applicable,73',0:5,Right-footed shot,Dimitar Berbatov,2008/09,2000s,0,61-75
Premier League ,24,31/01/09,Home,Manchester United,Everton FC,1:0,Not Applicable,43',1:0,Penalty,Not Applicable,2008/09,2000s,1,31-45
FA Cup ,Fifth Round,15/02/09,Away,Manchester United,Derby County,1:4,CF,68',1:3,Header,Ryan Giggs,2008/09,2000s,0,61-75
Premier League ,26,21/02/09,Home,Manchester United,Blackburn Rovers,2:1,CF,60',2:1,Direct free kick,Not Applicable,2008/09,2000s,1,46-60
UEFA Champions League ,Round of 16,11/03/09,Home,Manchester United,Inter Milan,2:0,CF,49',2:0,Header,Wayne Rooney,2008/09,2000s,1,46-60
