competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Copa del Rey ,Semi-Finals,11/02/14,Away,Real Madrid,Atlético de Madrid,0:2,LW,6',0:1,Penalty,Not Applicable,2013/14,2010s,0,01-15
Copa del Rey ,Semi-Finals,11/02/14,Away,Real Madrid,Atlético de Madrid,0:2,LW,15',0:2,Penalty,Not Applicable,2013/14,2010s,0,01-15
UEFA Champions League ,Round of 16,26/02/14,Away,Real Madrid,FC Schalke 04,1:6,LW,52',0:3,Left-footed shot,Gareth Bale,2013/14,2010s,0,46-60
UEFA Champions League ,Round of 16,26/02/14,Away,Real Madrid,FC Schalke 04,1:6,LW,89',0:6,Right-footed shot,Karim Benzema,2013/14,2010s,0,76-90
LaLiga ,26,02/03/14,Away,Real Madrid,Atlético de Madrid,2:2,LW,82',2:2,Right-footed shot,Gareth Bale,2013/14,2010s,0,76-90
LaLiga ,27,09/03/14,Home,Real Madrid,Levante UD,3:0,LW,11',1:0,Header,Ángel Di María,2013/14,2010s,1,01-15
LaLiga ,28,15/03/14,Away,Real Madrid,Málaga CF,0:1,LW,23',0:1,Right-footed shot,Gareth Bale,2013/14,2010s,0,16-30
UEFA Champions League ,Round of 16,18/03/14,Home,Real Madrid,FC Schalke 04,3:1,LW,22',1:0,Right-footed shot,Gareth Bale,2013/14,2010s,1,16-30
UEFA Champions League ,Round of 16,18/03/14,Home,Real Madrid,FC Schalke 04,3:1,LW,74',2:1,Right-footed shot,Not Applicable,2013/14,2010s,1,61-75
LaLiga ,29,23/03/14,Home,Real Madrid,FC Barcelona,3:4,LW,55',3:2,Penalty,Not Applicable,2013/14,2010s,1,46-60
LaLiga ,30,26/03/14,Away,Real Madrid,Sevilla FC,2:1,LW,14',0:1,Direct free kick,Not Applicable,2013/14,2010s,0,01-15
LaLiga ,31,29/03/14,Home,Real Madrid,Rayo Vallecano,5:0,LW,15',1:0,Right-footed shot,Gareth Bale,2013/14,2010s,1,01-15
UEFA Champions League ,Quarter-Finals,02/04/14,Home,Real Madrid,Borussia Dortmund,3:0,LW,57',3:0,Left-footed shot,Luka Modrić,2013/14,2010s,1,46-60
LaLiga ,35,26/04/14,Home,Real Madrid,CA Osasuna,4:0,LW,6',1:0,Long distance kick,Ángel Di María,2013/14,2010s,1,01-15
LaLiga ,35,26/04/14,Home,Real Madrid,CA Osasuna,4:0,LW,52',2:0,Long distance kick,Isco,2013/14,2010s,1,46-60
UEFA Champions League ,Semi-Finals,29/04/14,Away,Real Madrid,Bayern Munich,0:4,SS,34',0:3,Counter attack goal,Gareth Bale,2013/14,2010s,0,31-45
UEFA Champions League ,Semi-Finals,29/04/14,Away,Real Madrid,Bayern Munich,0:4,SS,90',0:4,Direct free kick,Not Applicable,2013/14,2010s,0,76-90
LaLiga ,36,04/05/14,Home,Real Madrid,Valencia CF,2:2,LW,90',2:2,Right-footed shot,Ángel Di María,2013/14,2010s,1,76-90
UEFA Champions League ,Final,24/05/14,Home,Real Madrid,Atlético de Madrid,4:1,LW,120',4:1,Penalty,Not Applicable,2013/14,2010s,1,90+
UEFA Super Cup ,Final,12/08/14,Home,Real Madrid,Sevilla FC,2:0,LW,30',1:0,Right-footed shot,Gareth Bale,2014/15,2010s,1,16-30
UEFA Super Cup ,Final,12/08/14,Home,Real Madrid,Sevilla FC,2:0,LW,49',2:0,Left-footed shot,Karim Benzema,2014/15,2010s,1,46-60
LaLiga ,1,25/08/14,Home,Real Madrid,Córdoba CF,2:0,LW,90',2:0,Right-footed shot,Isco,2014/15,2010s,1,76-90
LaLiga ,3,13/09/14,Home,Real Madrid,Atlético de Madrid,1:2,LW,25',1:1,Penalty,Not Applicable,2014/15,2010s,1,16-30
UEFA Champions League ,Group Stage,16/09/14,Home,Real Madrid,FC Basel 1893,5:1,LW,31',3:0,Right-footed shot,Gareth Bale,2014/15,2010s,1,31-45
LaLiga ,4,20/09/14,Away,Real Madrid,Deportivo de La Coruña,2:8,LW,29',0:1,Header,Álvaro Arbeloa,2014/15,2010s,0,16-30
LaLiga ,4,20/09/14,Away,Real Madrid,Deportivo de La Coruña,2:8,LW,41',0:3,Left-footed shot,Karim Benzema,2014/15,2010s,0,31-45
LaLiga ,4,20/09/14,Away,Real Madrid,Deportivo de La Coruña,2:8,LW,78',1:6,Left-footed shot,James Rodríguez,2014/15,2010s,0,76-90
LaLiga ,5,23/09/14,Home,Real Madrid,Elche CF,5:1,CF,28',2:1,Penalty,Not Applicable,2014/15,2010s,1,16-30
LaLiga ,5,23/09/14,Home,Real Madrid,Elche CF,5:1,CF,32',3:1,Header,Marcelo,2014/15,2010s,1,31-45
LaLiga ,5,23/09/14,Home,Real Madrid,Elche CF,5:1,CF,80',4:1,Penalty,Not Applicable,2014/15,2010s,1,76-90
LaLiga ,5,23/09/14,Home,Real Madrid,Elche CF,5:1,CF,90',5:1,Right-footed shot,Gareth Bale,2014/15,2010s,1,76-90
LaLiga ,6,27/09/14,Away,Real Madrid,Villarreal CF,0:2,CF,40',0:2,Right-footed shot,Karim Benzema,2014/15,2010s,0,31-45
UEFA Champions League ,Group Stage,01/10/14,Away,Real Madrid,Ludogorets Razgrad,1:2,CF,25',1:1,Penalty,Not Applicable,2014/15,2010s,0,16-30
LaLiga ,7,05/10/14,Home,Real Madrid,Athletic Bilbao,5:0,LW,3',1:0,Header,Gareth Bale,2014/15,2010s,1,01-15
LaLiga ,7,05/10/14,Home,Real Madrid,Athletic Bilbao,5:0,LW,55',3:0,Right-footed shot,Gareth Bale,2014/15,2010s,1,46-60
LaLiga ,7,05/10/14,Home,Real Madrid,Athletic Bilbao,5:0,LW,89',5:0,Deflected shot on goal,Pepe,2014/15,2010s,1,76-90
LaLiga ,8,18/10/14,Away,Real Madrid,Levante UD,0:5,SS,13',0:1,Penalty,Not Applicable,2014/15,2010s,0,01-15
LaLiga ,8,18/10/14,Away,Real Madrid,Levante UD,0:5,SS,61',0:3,Right-footed shot,Isco,2014/15,2010s,0,61-75
UEFA Champions League ,Group Stage,22/10/14,Away,Real Madrid,Liverpool FC,0:3,CF,23',0:1,Right-footed shot,James Rodríguez,2014/15,2010s,0,16-30
LaLiga ,9,25/10/14,Home,Real Madrid,FC Barcelona,3:1,CF,35',1:1,Penalty,Not Applicable,2014/15,2010s,1,31-45
LaLiga ,10,01/11/14,Away,Real Madrid,Granada CF,0:4,CF,2',0:1,Right-footed shot,Karim Benzema,2014/15,2010s,0,01-15
LaLiga ,11,08/11/14,Home,Real Madrid,Rayo Vallecano,5:1,CF,83',5:1,Right-footed shot,Isco,2014/15,2010s,1,76-90
LaLiga ,12,22/11/14,Away,Real Madrid,SD Eibar,0:4,CF,43',0:2,Right-footed shot,Daniel Carvajal,2014/15,2010s,0,31-45
LaLiga ,12,22/11/14,Away,Real Madrid,SD Eibar,0:4,CF,83',0:4,Penalty,Not Applicable,2014/15,2010s,0,76-90
UEFA Champions League ,Group Stage,26/11/14,Away,Real Madrid,FC Basel 1893,0:1,LW,35',0:1,Left-footed shot,Karim Benzema,2014/15,2010s,0,31-45
LaLiga ,14,06/12/14,Home,Real Madrid,Celta de Vigo,3:0,CF,36',1:0,Penalty,Not Applicable,2014/15,2010s,1,31-45
LaLiga ,14,06/12/14,Home,Real Madrid,Celta de Vigo,3:0,CF,65',2:0,Right-footed shot,Not Applicable,2014/15,2010s,1,61-75
LaLiga ,14,06/12/14,Home,Real Madrid,Celta de Vigo,3:0,CF,81',3:0,Left-footed shot,Marcelo,2014/15,2010s,1,76-90
UEFA Champions League ,Group Stage,09/12/14,Home,Real Madrid,Ludogorets Razgrad,4:0,CF,20',1:0,Penalty,Not Applicable,2014/15,2010s,1,16-30
LaLiga ,15,12/12/14,Away,Real Madrid,UD Almería,1:4,CF,81',1:3,Right-footed shot,Karim Benzema,2014/15,2010s,0,76-90
LaLiga ,15,12/12/14,Away,Real Madrid,UD Almería,1:4,CF,89',1:4,Right-footed shot,Daniel Carvajal,2014/15,2010s,0,76-90
LaLiga ,17,04/01/15,Away,Real Madrid,Valencia CF,2:1,LW,14',0:1,Penalty,Not Applicable,2014/15,2010s,0,01-15
Copa del Rey ,Round of 16,15/01/15,Home,Real Madrid,Atlético de Madrid,2:2,LW,54',2:2,Header,Gareth Bale,2014/15,2010s,1,46-60
LaLiga ,19,18/01/15,Away,Real Madrid,Getafe CF,0:3,LW,63',0:1,Left-footed shot,Karim Benzema,2014/15,2010s,0,61-75
LaLiga ,19,18/01/15,Away,Real Madrid,Getafe CF,0:3,LW,79',0:3,Header,James Rodríguez,2014/15,2010s,0,76-90
UEFA Champions League ,Round of 16,18/02/15,Away,Real Madrid,FC Schalke 04,0:2,LW,26',0:1,Header,Daniel Carvajal,2014/15,2010s,0,16-30
LaLiga ,24,22/02/15,Away,Real Madrid,Elche CF,0:2,CF,69',0:2,Header,Isco,2014/15,2010s,0,61-75
LaLiga ,25,01/03/15,Home,Real Madrid,Villarreal CF,1:1,CF,52',1:0,Penalty,Not Applicable,2014/15,2010s,1,46-60
UEFA Champions League ,Round of 16,10/03/15,Home,Real Madrid,FC Schalke 04,3:4,CF,25',1:1,Header,Toni Kroos,2014/15,2010s,1,16-30
UEFA Champions League ,Round of 16,10/03/15,Home,Real Madrid,FC Schalke 04,3:4,CF,45',2:2,Header,Fábio Coentrão,2014/15,2010s,1,31-45
LaLiga ,28,22/03/15,Away,Real Madrid,FC Barcelona,2:1,LW,31',1:1,Right-footed shot,Karim Benzema,2014/15,2010s,0,31-45
LaLiga ,29,05/04/15,Home,Real Madrid,Granada CF,9:1,CF,30',2:0,Right-footed shot,James Rodríguez,2014/15,2010s,1,16-30
LaLiga ,29,05/04/15,Home,Real Madrid,Granada CF,9:1,CF,36',3:0,Right-footed shot,Not Applicable,2014/15,2010s,1,31-45
LaLiga ,29,05/04/15,Home,Real Madrid,Granada CF,9:1,CF,38',4:0,Long distance kick,Gareth Bale,2014/15,2010s,1,31-45
LaLiga ,29,05/04/15,Home,Real Madrid,Granada CF,9:1,CF,54',6:0,Header,Gareth Bale,2014/15,2010s,1,46-60
LaLiga ,29,05/04/15,Home,Real Madrid,Granada CF,9:1,CF,90',9:1,Header,Luka Modrić,2014/15,2010s,1,76-90
LaLiga ,30,08/04/15,Away,Real Madrid,Rayo Vallecano,0:2,LW,68',0:1,Header,Daniel Carvajal,2014/15,2010s,0,61-75
LaLiga ,31,11/04/15,Home,Real Madrid,SD Eibar,3:0,LW,21',1:0,Direct free kick,Not Applicable,2014/15,2010s,1,16-30
LaLiga ,32,18/04/15,Home,Real Madrid,Málaga CF,3:1,CF,90'+2,3:1,Left-footed shot,Chicharito,2014/15,2010s,1,76-90
LaLiga ,35,02/05/15,Away,Real Madrid,Sevilla FC,2:3,CF,36',0:1,Header,Isco,2014/15,2010s,0,31-45
LaLiga ,35,02/05/15,Away,Real Madrid,Sevilla FC,2:3,CF,37',0:2,Right-footed shot,Chicharito,2014/15,2010s,0,31-45
LaLiga ,35,02/05/15,Away,Real Madrid,Sevilla FC,2:3,CF,69',1:3,Header,Gareth Bale,2014/15,2010s,0,61-75
UEFA Champions League ,Semi-Finals,05/05/15,Away,Real Madrid,Juventus FC,2:1,CF,27',1:1,Header,James Rodríguez,2014/15,2010s,0,16-30
UEFA Champions League ,Semi-Finals,13/05/15,Home,Real Madrid,Juventus FC,1:1,LW,23',1:0,Penalty,Not Applicable,2014/15,2010s,1,16-30
LaLiga ,37,17/05/15,Away,Real Madrid,RCD Espanyol Barcelona,1:4,LW,59',0:1,Left-footed shot,Karim Benzema,2014/15,2010s,0,46-60
LaLiga ,37,17/05/15,Away,Real Madrid,RCD Espanyol Barcelona,1:4,LW,83',1:3,Right-footed shot,Chicharito,2014/15,2010s,0,76-90
LaLiga ,37,17/05/15,Away,Real Madrid,RCD Espanyol Barcelona,1:4,LW,90'+1,1:4,Header,James Rodríguez,2014/15,2010s,0,76-90
LaLiga ,38,23/05/15,Home,Real Madrid,Getafe CF,7:3,LW,13',1:0,Header,Marcelo,2014/15,2010s,1,01-15
LaLiga ,38,23/05/15,Home,Real Madrid,Getafe CF,7:3,LW,32',2:2,Direct free kick,Not Applicable,2014/15,2010s,1,31-45
LaLiga ,38,23/05/15,Home,Real Madrid,Getafe CF,7:3,LW,34',3:2,Penalty,Not Applicable,2014/15,2010s,1,31-45
LaLiga ,3,12/09/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,7',0:1,Right-footed shot,Luka Modrić,2015/16,2010s,0,01-15
LaLiga ,3,12/09/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,17',0:2,Penalty,Not Applicable,2015/16,2010s,0,16-30
LaLiga ,3,12/09/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,20',0:3,Left-footed shot,Gareth Bale,2015/16,2010s,0,16-30
LaLiga ,3,12/09/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,61',0:5,Right-footed shot,Gareth Bale,2015/16,2010s,0,61-75
LaLiga ,3,12/09/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,81',0:6,Right-footed shot,Lucas Vázquez,2015/16,2010s,0,76-90
UEFA Champions League ,Group Stage,15/09/15,Home,Real Madrid,Shakhtar Donetsk,4:0,LW,56',2:0,Penalty,Not Applicable,2015/16,2010s,1,46-60
UEFA Champions League ,Group Stage,15/09/15,Home,Real Madrid,Shakhtar Donetsk,4:0,LW,64',3:0,Penalty,Not Applicable,2015/16,2010s,1,61-75
UEFA Champions League ,Group Stage,15/09/15,Home,Real Madrid,Shakhtar Donetsk,4:0,LW,82',4:0,Header,Not Applicable,2015/16,2010s,1,76-90
UEFA Champions League ,Group Stage,30/09/15,Away,Real Madrid,Malmö FF,0:2,LW,29',0:1,Right-footed shot,Isco,2015/16,2010s,0,16-30
UEFA Champions League ,Group Stage,30/09/15,Away,Real Madrid,Malmö FF,0:2,LW,90',0:2,Left-footed shot,Lucas Vázquez,2015/16,2010s,0,76-90
LaLiga ,8,17/10/15,Home,Real Madrid,Levante UD,3:0,CF,30',2:0,Right-footed shot,Toni Kroos,2015/16,2010s,1,16-30
LaLiga ,9,24/10/15,Away,Real Madrid,Celta de Vigo,1:3,CF,8',0:1,Right-footed shot,Lucas Vázquez,2015/16,2010s,0,01-15
LaLiga ,10,31/10/15,Home,Real Madrid,UD Las Palmas,3:1,CF,14',2:0,Header,Marcelo,2015/16,2010s,1,01-15
UEFA Champions League ,Group Stage,25/11/15,Away,Real Madrid,Shakhtar Donetsk,3:4,CF,18',0:1,Header,Gareth Bale,2015/16,2010s,0,16-30
UEFA Champions League ,Group Stage,25/11/15,Away,Real Madrid,Shakhtar Donetsk,3:4,CF,70',0:4,Right-footed shot,Gareth Bale,2015/16,2010s,0,61-75
LaLiga ,13,29/11/15,Away,Real Madrid,SD Eibar,0:2,CF,82',0:2,Penalty,Not Applicable,2015/16,2010s,0,76-90
LaLiga ,14,05/12/15,Home,Real Madrid,Getafe CF,4:1,LW,38',4:0,Right-footed shot,Toni Kroos,2015/16,2010s,1,31-45
UEFA Champions League ,Group Stage,08/12/15,Home,Real Madrid,Malmö FF,8:0,LW,39',3:0,Direct free kick,Not Applicable,2015/16,2010s,1,31-45
UEFA Champions League ,Group Stage,08/12/15,Home,Real Madrid,Malmö FF,8:0,LW,47',4:0,Tap-in,Not Applicable,2015/16,2010s,1,46-60
UEFA Champions League ,Group Stage,08/12/15,Home,Real Madrid,Malmö FF,8:0,LW,50',5:0,Right-footed shot,Danilo,2015/16,2010s,1,46-60
UEFA Champions League ,Group Stage,08/12/15,Home,Real Madrid,Malmö FF,8:0,LW,59',6:0,Right-footed shot,Isco,2015/16,2010s,1,46-60
LaLiga ,16,20/12/15,Home,Real Madrid,Rayo Vallecano,10:2,LW,30',3:2,Penalty,Not Applicable,2015/16,2010s,1,16-30
LaLiga ,16,20/12/15,Home,Real Madrid,Rayo Vallecano,10:2,LW,54',6:2,Header,James Rodríguez,2015/16,2010s,1,46-60
LaLiga ,17,30/12/15,Home,Real Madrid,Real Sociedad,3:1,LW,42',1:0,Penalty,Not Applicable,2015/16,2010s,1,31-45
LaLiga ,17,30/12/15,Home,Real Madrid,Real Sociedad,3:1,LW,68',2:1,Left-footed shot,Marcelo,2015/16,2010s,1,61-75
LaLiga ,20,17/01/16,Home,Real Madrid,Sporting Gijón,5:1,LW,9',2:0,Left-footed shot,Karim Benzema,2015/16,2010s,1,01-15
LaLiga ,20,17/01/16,Home,Real Madrid,Sporting Gijón,5:1,LW,18',4:0,Left-footed shot,Daniel Carvajal,2015/16,2010s,1,16-30
LaLiga ,22,31/01/16,Home,Real Madrid,RCD Espanyol Barcelona,6:0,LW,12',2:0,Penalty,Not Applicable,2015/16,2010s,1,01-15
LaLiga ,22,31/01/16,Home,Real Madrid,RCD Espanyol Barcelona,6:0,LW,45',4:0,Left-footed shot,Not Applicable,2015/16,2010s,1,31-45
LaLiga ,22,31/01/16,Home,Real Madrid,RCD Espanyol Barcelona,6:0,LW,82',5:0,Header,Jesé,2015/16,2010s,1,76-90
LaLiga ,24,13/02/16,Home,Real Madrid,Athletic Bilbao,4:2,LW,3',1:0,Right-footed shot,Karim Benzema,2015/16,2010s,1,01-15
LaLiga ,24,13/02/16,Home,Real Madrid,Athletic Bilbao,4:2,LW,87',4:1,Right-footed shot,Lucas Vázquez,2015/16,2010s,1,76-90
UEFA Champions League ,Round of 16,17/02/16,Away,Real Madrid,AS Roma,0:2,LW,57',0:1,Right-footed shot,Marcelo,2015/16,2010s,0,46-60
LaLiga ,25,21/02/16,Away,Real Madrid,Málaga CF,1:1,LW,33',0:1,Header,Toni Kroos,2015/16,2010s,0,31-45
LaLiga ,27,02/03/16,Away,Real Madrid,Levante UD,1:3,LW,34',0:1,Penalty,Not Applicable,2015/16,2010s,0,31-45
LaLiga ,28,05/03/16,Home,Real Madrid,Celta de Vigo,7:1,LW,50',2:0,Long distance kick,Sergio Ramos,2015/16,2010s,1,46-60
LaLiga ,28,05/03/16,Home,Real Madrid,Celta de Vigo,7:1,LW,58',3:0,Direct free kick,Not Applicable,2015/16,2010s,1,46-60
LaLiga ,28,05/03/16,Home,Real Madrid,Celta de Vigo,7:1,LW,64',4:1,Right-footed shot,Isco,2015/16,2010s,1,61-75
LaLiga ,28,05/03/16,Home,Real Madrid,Celta de Vigo,7:1,LW,76',5:1,Header,Jesé,2015/16,2010s,1,76-90
UEFA Champions League ,Round of 16,08/03/16,Home,Real Madrid,AS Roma,2:0,CF,64',1:0,Right-footed shot,Lucas Vázquez,2015/16,2010s,1,61-75
LaLiga ,30,20/03/16,Home,Real Madrid,Sevilla FC,4:0,LW,64',2:0,Left-footed shot,Danilo,2015/16,2010s,1,61-75
LaLiga ,31,02/04/16,Away,Real Madrid,FC Barcelona,1:2,LW,85',1:2,Right-footed shot,Gareth Bale,2015/16,2010s,0,76-90
LaLiga ,32,09/04/16,Home,Real Madrid,SD Eibar,4:0,CF,19',3:0,Right-footed shot,Jesé,2015/16,2010s,1,16-30
UEFA Champions League ,Quarter-Finals,12/04/16,Home,Real Madrid,VfL Wolfsburg,3:0,LW,16',1:0,Right-footed shot,Daniel Carvajal,2015/16,2010s,1,16-30
UEFA Champions League ,Quarter-Finals,12/04/16,Home,Real Madrid,VfL Wolfsburg,3:0,LW,17',2:0,Header,Toni Kroos,2015/16,2010s,1,16-30
UEFA Champions League ,Quarter-Finals,12/04/16,Home,Real Madrid,VfL Wolfsburg,3:0,LW,77',3:0,Direct free kick,Not Applicable,2015/16,2010s,1,76-90
LaLiga ,33,16/04/16,Away,Real Madrid,Getafe CF,1:5,LW,90'+2,1:5,Left-footed shot,Jesé,2015/16,2010s,0,76-90
LaLiga ,37,08/05/16,Home,Real Madrid,Valencia CF,3:2,LW,26',1:0,Right-footed shot,Marcelo,2015/16,2010s,1,16-30
LaLiga ,37,08/05/16,Home,Real Madrid,Valencia CF,3:2,LW,59',3:1,Left-footed shot,James Rodríguez,2015/16,2010s,1,46-60
LaLiga ,38,14/05/16,Away,Real Madrid,Deportivo de La Coruña,0:2,LW,8',0:1,Left-footed shot,Karim Benzema,2015/16,2010s,0,01-15
LaLiga ,38,14/05/16,Away,Real Madrid,Deportivo de La Coruña,0:2,LW,25',0:2,Header,Toni Kroos,2015/16,2010s,0,16-30
LaLiga ,3,10/09/16,Home,Real Madrid,CA Osasuna,5:2,LW,6',1:0,Right-footed shot,Gareth Bale,2016/17,2010s,1,01-15
UEFA Champions League ,Group Stage,14/09/16,Home,Real Madrid,Sporting CP,2:1,LW,89',1:1,Direct free kick,Not Applicable,2016/17,2010s,1,76-90
UEFA Champions League ,Group Stage,27/09/16,Away,Real Madrid,Borussia Dortmund,2:2,LW,17',0:1,Right-footed shot,Gareth Bale,2016/17,2010s,0,16-30
LaLiga ,8,15/10/16,Away,Real Madrid,Real Betis Balompié,1:6,LW,78',1:6,Right-footed shot,Álvaro Morata,2016/17,2010s,0,76-90
LaLiga ,10,29/10/16,Away,Real Madrid,Deportivo Alavés,1:4,LW,17',1:1,Penalty,Not Applicable,2016/17,2010s,0,16-30
LaLiga ,10,29/10/16,Away,Real Madrid,Deportivo Alavés,1:4,LW,33',1:2,Right-footed shot,Karim Benzema,2016/17,2010s,0,31-45
LaLiga ,10,29/10/16,Away,Real Madrid,Deportivo Alavés,1:4,LW,88',1:4,Right-footed shot,Marcelo,2016/17,2010s,0,76-90
LaLiga ,12,19/11/16,Away,Real Madrid,Atlético de Madrid,0:3,CF,23',0:1,Direct free kick,Not Applicable,2016/17,2010s,0,16-30
LaLiga ,12,19/11/16,Away,Real Madrid,Atlético de Madrid,0:3,CF,71',0:2,Penalty,Not Applicable,2016/17,2010s,0,61-75
LaLiga ,12,19/11/16,Away,Real Madrid,Atlético de Madrid,0:3,CF,77',0:3,Right-footed shot,Gareth Bale,2016/17,2010s,0,76-90
LaLiga ,13,26/11/16,Home,Real Madrid,Sporting Gijón,2:1,LW,5',1:0,Penalty,Not Applicable,2016/17,2010s,1,01-15
LaLiga ,13,26/11/16,Home,Real Madrid,Sporting Gijón,2:1,LW,18',2:0,Header,Nacho Fernández,2016/17,2010s,1,16-30
Club World Cup ,Semi-Finals,15/12/16,Away,Real Madrid,CF América,0:2,LW,90'+3,0:2,Right-footed shot,James Rodríguez,2016/17,2010s,0,76-90
Club World Cup ,Final,18/12/16,Home,Real Madrid,Kashima Antlers,4:2,LW,60',2:2,Penalty,Not Applicable,2016/17,2010s,1,46-60
Club World Cup ,Final,18/12/16,Home,Real Madrid,Kashima Antlers,4:2,LW,97',3:2,Left-footed shot,Karim Benzema,2016/17,2010s,1,90+
Club World Cup ,Final,18/12/16,Home,Real Madrid,Kashima Antlers,4:2,LW,104',4:2,Left-footed shot,Toni Kroos,2016/17,2010s,1,90+
LaLiga ,17,07/01/17,Home,Real Madrid,Granada CF,5:0,LW,27',3:0,Header,Marcelo,2016/17,2010s,1,16-30
LaLiga ,18,15/01/17,Away,Real Madrid,Sevilla FC,2:1,CF,67',0:1,Penalty,Not Applicable,2016/17,2010s,0,61-75
Copa del Rey ,Quarter-Finals,25/01/17,Away,Real Madrid,Celta de Vigo,2:2,CF,62',1:1,Direct free kick,Not Applicable,2016/17,2010s,0,61-75
LaLiga ,20,29/01/17,Home,Real Madrid,Real Sociedad,3:0,LW,51',2:0,Right-footed shot,Mateo Kovacic,2016/17,2010s,1,46-60
LaLiga ,22,11/02/17,Away,Real Madrid,CA Osasuna,1:3,CF,24',0:1,Right-footed shot,Karim Benzema,2016/17,2010s,0,16-30
LaLiga ,16,22/02/17,Away,Real Madrid,Valencia CF,2:1,LW,44',2:1,Header,Marcelo,2016/17,2010s,0,31-45
LaLiga ,24,26/02/17,Away,Real Madrid,Villarreal CF,2:3,LW,74',2:2,Penalty,Not Applicable,2016/17,2010s,0,61-75
LaLiga ,25,01/03/17,Home,Real Madrid,UD Las Palmas,3:3,LW,86',2:3,Penalty,Not Applicable,2016/17,2010s,1,76-90
LaLiga ,25,01/03/17,Home,Real Madrid,UD Las Palmas,3:3,LW,89',3:3,Header,James Rodríguez,2016/17,2010s,1,76-90
LaLiga ,27,12/03/17,Home,Real Madrid,Real Betis Balompié,2:1,LW,41',1:1,Header,Marcelo,2016/17,2010s,1,31-45
UEFA Champions League ,Quarter-Finals,12/04/17,Away,Real Madrid,Bayern Munich,1:2,LW,47',1:1,Right-footed shot,Daniel Carvajal,2016/17,2010s,0,46-60
UEFA Champions League ,Quarter-Finals,12/04/17,Away,Real Madrid,Bayern Munich,1:2,LW,77',1:2,Right-footed shot,Marco Asensio,2016/17,2010s,0,76-90
UEFA Champions League ,Quarter-Finals,18/04/17,Home,Real Madrid,Bayern Munich,4:2,CF,76',1:1,Header,Casemiro,2016/17,2010s,1,76-90
UEFA Champions League ,Quarter-Finals,18/04/17,Home,Real Madrid,Bayern Munich,4:2,CF,105',2:2,Left-footed shot,Sergio Ramos,2016/17,2010s,1,90+
UEFA Champions League ,Quarter-Finals,18/04/17,Home,Real Madrid,Bayern Munich,4:2,CF,109',3:2,Right-footed shot,Marcelo,2016/17,2010s,1,90+
LaLiga ,35,29/04/17,Home,Real Madrid,Valencia CF,2:1,LW,27',1:0,Header,Daniel Carvajal,2016/17,2010s,1,16-30
UEFA Champions League ,Semi-Finals,02/05/17,Home,Real Madrid,Atlético de Madrid,3:0,CF,10',1:0,Header,Casemiro,2016/17,2010s,1,01-15
UEFA Champions League ,Semi-Finals,02/05/17,Home,Real Madrid,Atlético de Madrid,3:0,CF,73',2:0,Right-footed shot,Karim Benzema,2016/17,2010s,1,61-75
UEFA Champions League ,Semi-Finals,02/05/17,Home,Real Madrid,Atlético de Madrid,3:0,CF,86',3:0,Right-footed shot,Lucas Vázquez,2016/17,2010s,1,76-90
LaLiga ,37,14/05/17,Home,Real Madrid,Sevilla FC,4:1,LW,23',2:0,Right-footed shot,Not Applicable,2016/17,2010s,1,16-30
LaLiga ,37,14/05/17,Home,Real Madrid,Sevilla FC,4:1,LW,78',3:1,Left-footed shot,Toni Kroos,2016/17,2010s,1,76-90
LaLiga ,21,17/05/17,Away,Real Madrid,Celta de Vigo,1:4,CF,10',0:1,Left-footed shot,Not Applicable,2016/17,2010s,0,01-15
LaLiga ,21,17/05/17,Away,Real Madrid,Celta de Vigo,1:4,CF,48',0:2,Left-footed shot,Isco,2016/17,2010s,0,46-60
LaLiga ,38,21/05/17,Away,Real Madrid,Málaga CF,0:2,CF,2',0:1,Right-footed shot,Isco,2016/17,2010s,0,01-15
UEFA Champions League ,Final,03/06/17,Away,Real Madrid,Juventus FC,1:4,CF,20',0:1,Right-footed shot,Daniel Carvajal,2016/17,2010s,0,16-30
UEFA Champions League ,Final,03/06/17,Away,Real Madrid,Juventus FC,1:4,CF,64',1:3,Right-footed shot,Luka Modrić,2016/17,2010s,0,61-75
Supercopa ,Final,13/08/17,Away,Real Madrid,FC Barcelona,1:3,CF,80',1:2,Right-footed shot,Isco,2017/18,2010s,0,76-90
UEFA Champions League ,Group Stage,13/09/17,Home,Real Madrid,APOEL Nicosia,3:0,CF,12',1:0,Counter attack goal,Gareth Bale,2017/18,2010s,1,01-15
UEFA Champions League ,Group Stage,13/09/17,Home,Real Madrid,APOEL Nicosia,3:0,CF,51',2:0,Penalty,Not Applicable,2017/18,2010s,1,46-60
UEFA Champions League ,Group Stage,26/09/17,Away,Real Madrid,Borussia Dortmund,1:3,CF,49',0:2,Left-footed shot,Gareth Bale,2017/18,2010s,0,46-60
UEFA Champions League ,Group Stage,26/09/17,Away,Real Madrid,Borussia Dortmund,1:3,CF,79',1:3,Right-footed shot,Luka Modrić,2017/18,2010s,0,76-90
